"Date" "Location...Operator" "Aircraft.Type...Registration" "Fatalities" "year" "date" "casualties_onboard" "souls_onboard" "casualities_ground"
"192" "02 Sep 1928" "Toul, FranceCIDNA" "Bleriot Spad 33F-AIEP" "5/5(0)" 1928 1928-09-02 5 5 0
"202" "04 Sep 1928" "Adelaide Hills, AustraliaQantas" "de Havilland DH.50JG-AUHI" "1/2(0)" 1928 1928-09-04 1 2 0
"218" "04 Sep 1928" "Pocatello, IdahoNational Parks Airways" "Fokker Super UniversalNC7242" "7/7(0)" 1928 1928-09-04 7 7 0
"221" "06 Sep 1928" "Heroldbach, GermanyDeutsche Lufthansa" "Fokker FG IIID-180" "3/3(0)" 1928 1928-09-06 3 3 0
"231" "04 Oct 1928" "Gerona, SpainAeropostale" "Breguet 14F-AEEJ
F-AEEJ" "3/3(0)" 1928 1928-10-04 3 3 0
"241" "18 Oct 1928" "Polk, PennsylvaniaNational Air Transport" "Douglas M-4NC1064" "1/1(0)" 1928 1928-10-18 1 1 0
"251" "31 Oct 1928" "Valence, FranceAir Union" "Bleriot Spad 56F-AIMN" "1/2(0)" 1928 1928-10-31 1 2 0
"261" "15 Nov 1928" "Off GibraltarAeropostale" "Latecoere 32F-AISN" "1/3(0)" 1928 1928-11-15 1 3 0
"271" "24 Nov 1928" "Edgerton, OhioUniversal Airlines" "Hamilton H-47NC7521" "3/3(0)" 1928 1928-11-24 3 3 0
"281" "25 Nov 1928" "Edgerton, OhioContinental Air Lines" "Travel Air 4000NC5436" "1/1(0)" 1928 1928-11-25 1 1 0
"291" "25 Nov 1928" "Bristolville, OhioNational Air Transport" "Douglas M-4NC792" "1/1(0)" 1928 1928-11-25 1 1 0
"301" "01 Dec 1928" "Spur, TexasSunbeam Air Transport Co." "Ford 4-AT-B Tri MotorNC7862" "5/5(0)" 1928 1928-12-01 5 5 0
"318" "03 Dec 1928" "Near Rio de Janeiro,BrazilSyndicato Condor" "Dornier WalP-BACA" "14/14(0)" 1928 1928-12-03 14 14 0
"321" "10 Dec 1928" "Spokan, WashingtonSpokane Airways" "Ford Tri-motor 4NC7687" "5/5(0)" 1928 1928-12-10 5 5 0
"331" "11 Dec 1928" "Letzlingen, GermanyDeutsche Lufthansa" "Junkers G-31D-1473" "3/4(0)" 1928 1928-12-11 3 4 0
"341" "20 Dec 1928" "Huron, OhioNational Air Transport" "Douglas M-4NC790" "1/1(0)" 1928 1928-12-20 1 1 0
"351" "23 Dec 1928" "Chattanooga, TennesseeInterstate Airlines" "Fairchild FC-2?" "4/4(0)" 1928 1928-12-23 4 4 0
"361" "31 Dec 1928" "Reims, FranceCIDNA" "Blériot Spad 66F-AEHX" "2/3(0)" 1928 1928-12-31 2 3 0
"128" "05 Jan 1929" "Stafford Springs, ConnecticutColonial Air Transport" "Fairchild FC-2NC5650" "1/1(0)" 1929 1929-01-05 1 1 0
"219" "18 Jan 1929" "Cove, OregonVarney Air Lines" "Stearman C-38NC1682" "1/1(0)" 1929 1929-01-18 1 1 0
"319" "25 Jan 1929" "Near Corfu, GreeceAeroespresso" "CMASA WalI-AZDA" "2/9(0)" 1929 1929-01-25 2 9 0
"418" "31 Jan 1929" "Off MoroccoAeropostale" "Latecoere 26F-AIMU
F-AIMU" "2/2(0)" 1929 1929-01-31 2 2 0
